Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Ir2_Ge2,p,700.0,1e+20,149.04406536782173,35180.28046405724,2.7644352134199957,0.1978883817443529
HfCr_Ir2_Ge2,p,800.0,1e+20,111.36624462723292,46442.55551739748,4.1969347274284745,0.10979461272661417
HfCr_Ir2_Ge2,p,900.0,1e+20,87.8192026161715,59914.8218265046,5.85588938676528,0.07101709379862609
HfCr_Ir2_Ge2,p,1000.0,1e+20,73.18504810445559,75019.49206780964,7.7106426059533,0.05211086364683781
HfCr_Ir2_Ge2,p,1100.0,1e+20,64.52434871934015,91324.76515598946,9.725941391622635,0.043002812483549986
HfCr_Ir2_Ge2,p,1200.0,1e+20,58.926756529105596,108423.96889557496,11.867371370473093,0.03806949255224442
HfCr_Ir2_Ge2,p,1300.0,1e+20,55.7308367367882,126030.01074400084,14.103913989542347,0.03608018883558433
HfCr_Ir2_Sn2,n,100.0,-1e+17,674.2631224002848,27.54966361410148,5.13915539193739e-05,24.371562061505625
HfCr_Ir2_Sn2,n,200.0,-1e+19,376.3170830150412,2411.1471951558765,0.009613677243269975,7.103494512601531
HfCr_Ir2_Sn2,n,300.0,-1e+20,249.2729154702931,20500.31783513062,0.12673866425277927,3.0152471097011224
HfCr_Ir2_Sn2,n,400.0,-1e+20,288.40799601478517,18959.539035254216,0.20719979339299446,3.0444794094872503
HfCr_Ir2_Sn2,n,500.0,-1e+20,291.8083518673629,18894.58806720912,0.4781903596778582,1.6822946015830906
HfCr_Ir2_Sn2,n,600.0,-1e+20,249.19737223694665,21309.51590457989,1.1092731255881103,0.7157696171310562
HfCr_Ir2_Sn2,n,700.0,-1e+20,189.57600950424998,26988.257334069713,2.0646657600233653,0.32884396919302594
HfCr_Ir2_Sn2,n,800.0,-1e+20,142.3734906685064,35479.07776190359,3.2283755255222046,0.17821182973028693
HfCr_Ir2_Sn2,n,900.0,-1e+20,112.37552194859471,46075.08331223947,4.55220438014211,0.11503508827716981
