Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Ni2_Al2,n,100.0,1e+18,-246.1797026216042,671.0925305555135,0.00405939273359437,1.0019033310320116
HfCr_Ni2_Al2,n,200.0,1e+20,-145.5056956396551,38162.15266965834,0.16508372468573693,0.9788555067691955
HfCr_Ni2_Al2,n,300.0,1e+20,-190.75257123464817,33431.72993006872,0.2579124293526942,1.4149745665784197
HfCr_Ni2_Al2,n,400.0,1e+20,-190.34246887854613,31048.297748521098,0.6194045606235195,0.7264316929515869
HfCr_Ni2_Al2,n,500.0,1e+20,-120.5477562726814,34485.25592400044,1.540544374702116,0.16264754331154724
HfCr_Ni2_Al2,n,600.0,1e+16,107.63439470186745,51743.45341745957,2.636044006132906,0.13644453657909666
HfCr_Ni2_Al2,n,700.0,1e+16,111.59524161250152,72966.07135177588,3.9685049056167023,0.1602815138585811
HfCr_Ni2_Al2,n,800.0,1e+16,112.95040016124445,96567.10974754872,5.533971074305318,0.17809752457886802
HfCr_Ni2_Al2,n,900.0,1e+16,112.14887935275544,121727.1779275706,7.292744745096503,0.18894218203550936
HfCr_Ni2_Al2,n,1000.0,1e+16,109.46200928279477,147501.00508108953,9.217178790185491,0.1917448902518909
HfCr_Ni2_Al2,n,1100.0,1e+16,105.7722964697034,173469.05158118988,11.271819065386039,0.18939327220700497
HfCr_Ni2_Al2,n,1200.0,1e+16,101.22054885815244,198925.24812473913,13.448764065314583,0.1818553807659805
HfCr_Ni2_Al2,n,1300.0,1e+16,96.28333779756957,223648.84644931392,15.733081324998123,0.17131622728357906
HfCr_Ni2_Al2,p,100.0,1e+18,213.77248872541054,1275.7187135314355,0.0036400404890264567,1.601593650577519
HfCr_Ni2_Al2,p,200.0,1e+19,175.17370112743833,9254.718673790843,0.05934552600545457,0.9570685509353711
HfCr_Ni2_Al2,p,300.0,1e+20,116.66034511508182,78788.97403282355,0.556692261742976,0.5778538740691143
HfCr_Ni2_Al2,p,400.0,1e+20,146.94581627622983,75738.63941238471,0.7824450107984614,0.8360612905470084
HfCr_Ni2_Al2,p,500.0,1e+20,162.54812197970045,76228.86298767132,1.2487360982121227,0.8064597415383014
HfCr_Ni2_Al2,p,600.0,1e+20,161.19659845095768,83450.97495299266,2.1269876619449595,0.6116872678804806
HfCr_Ni2_Al2,p,700.0,1e+20,151.50877732720141,97334.45512575055,3.4018341474115235,0.4597556687304437
HfCr_Ni2_Al2,p,800.0,1e+20,141.01136483271574,116093.65621262377,4.9705147832618986,0.3715397959980058
HfCr_Ni2_Al2,p,900.0,1e+20,131.6740410699983,137712.45232404937,6.75683090371338,0.3180335958420659
HfCr_Ni2_Al2,p,1000.0,1e+20,123.43998103636095,160907.53054941658,8.710245501399456,0.28148656186155685
HfCr_Ni2_Al2,p,1100.0,1e+20,115.91604618569646,184725.12275230628,10.800087623945759,0.25280082587766634
HfCr_Ni2_Al2,p,1200.0,1e+20,108.7963885068129,208419.6561281603,13.011836115230011,0.22751513618033187
HfCr_Ni2_Al2,p,1300.0,1e+20,102.06835818767155,231675.9288733547,15.331042370602853,0.20466088103831265
HfCr_Ni2_Ga2,n,100.0,1e+16,-766.5959523444473,3.339107115462196,7.305049631418792e-06,26.86211622087491
HfCr_Ni2_Ga2,n,200.0,1e+17,-727.4266523691007,28.255500727555923,0.0001664269593893049,17.967503719454196
HfCr_Ni2_Ga2,n,300.0,1e+19,-421.062554738558,2307.0974040997557,0.014807091739181119,8.287254200234832
HfCr_Ni2_Ga2,n,400.0,1e+20,-284.22197461984894,18060.176856289192,0.1289459054771691,4.525741440809473
HfCr_Ni2_Ga2,n,500.0,1e+20,-315.46256147486525,15127.522763539311,0.16601341689103738,4.534091517897534
HfCr_Ni2_Ga2,n,600.0,1e+20,-308.8084540710483,13338.88104536677,0.4332914625513095,1.7614441620940708
HfCr_Ni2_Ga2,n,700.0,1e+20,-210.52932011619217,13859.449524942844,1.2888430699199558,0.3336331196437126
HfCr_Ni2_Ga2,n,800.0,1e+16,205.81886035527813,22469.216520622693,2.23975744451883,0.3399752217630173
HfCr_Ni2_Ga2,n,900.0,1e+16,191.5232868826093,34080.19416930637,3.362315072141215,0.33461802787079953
HfCr_Ni2_Ga2,n,1000.0,1e+16,177.36761940775696,47631.01853148004,4.71574043586168,0.31775226133330847
HfCr_Ni2_Ga2,n,1100.0,1e+16,164.02087833913754,62715.42563533389,6.280838158732917,0.2954933576016966
HfCr_Ni2_Ga2,n,1200.0,1e+16,151.38663540513483,78846.14203800588,8.046377177079757,0.26948610741220064
HfCr_Ni2_Ga2,n,1300.0,1e+16,139.58765773103588,95639.87935062719,9.99893681181864,0.24228280209227437
HfCr_Ni2_Ga2,p,100.0,1e+16,736.2565640887491,7.617876563728203,1.5427430308651406e-05,26.766938284438993
HfCr_Ni2_Ga2,p,200.0,1e+17,653.5082628540848,68.23781185330147,0.0002877368370773961,20.256377809316366
HfCr_Ni2_Ga2,p,300.0,1e+18,517.8345459625381,638.07874074448,0.005715169107942113,8.981491935556077
HfCr_Ni2_Ga2,p,400.0,1e+19,375.73663505757037,5819.616756698514,0.05684580111267561,5.781267559103165
HfCr_Ni2_Ga2,p,500.0,1e+20,233.60815752235916,50050.34153675757,0.4972649586938931,2.746408923920734
HfCr_Ni2_Ga2,p,600.0,1e+20,258.8578642741041,46300.893975732346,0.582762312156763,3.1942720134857447
HfCr_Ni2_Ga2,p,700.0,1e+20,270.99987252488734,44089.51700505329,0.8470116719540036,2.6759756630996256
HfCr_Ni2_Ga2,p,800.0,1e+20,263.5472979111999,45393.12498968851,1.4805776102900143,1.7035937062393463
HfCr_Ni2_Ga2,p,900.0,1e+20,240.9326691604489,51189.677163946944,2.537778005317364,1.0538108236960007
